,scoredFor,xGF_before,xGF_after,xGA_before,xGA_after,time_before,time_after,anyone_switch,forw_switch,def_switch,us,them,score_dif
4969,1,0.06979910000000002,0.0118879,0.0,0.0,13.0,51.0,0,0,0,"(8477987.0, 8471276.0, 8478498.0, 8476891.0, 8476191.0)","(8476873.0, 8477935.0, 8471707.0, 8478397.0, 8478430.0)",
4970,1,0.0,0.0,0.0,0.0,2.0,36.0,1,1,1,"(8477497.0, 8477496.0, 8476346.0, 8474612.0, 8478396.0)","(8470638.0, 8473419.0, 8477956.0, 8476891.0, 8476191.0)",
4971,0,0.0,0.0,0.0,0.0,2.0,36.0,0,1,0,"(8470638.0, 8473419.0, 8477956.0, 8476891.0, 8476191.0)","(8477497.0, 8477496.0, 8476346.0, 8474612.0, 8478396.0)",
4972,0,0.0,0.0,0.0,0.0,38.0,28.0,0,0,0,"(8477497.0, 8477496.0, 8476346.0, 8474612.0, 8478396.0)","(8470638.0, 8473419.0, 8477956.0, 8478443.0, 8476792.0)",
4973,1,0.0,0.0,0.0,0.0,36.0,28.0,0,0,0,"(8470638.0, 8473419.0, 8477956.0, 8478443.0, 8476792.0)","(8477497.0, 8477496.0, 8476346.0, 8474612.0, 8478396.0)",
4974,1,0.0,0.0,0.0,0.0,12.0,32.0,0,0,1,"(8477497.0, 8477496.0, 8476346.0, 8474612.0, 8478396.0)","(8476374.0, 8478569.0, 8475780.0, 8476792.0, 8476191.0)",
4975,0,0.0,0.0,0.0,0.0,12.0,32.0,0,0,0,"(8476374.0, 8478569.0, 8475780.0, 8476792.0, 8476191.0)","(8477497.0, 8477496.0, 8476346.0, 8474612.0, 8478396.0)",
4976,0,0.0,0.0,0.0,0.0,22.0,20.0,0,0,0,"(8478585.0, 8478512.0, 8477903.0, 8478397.0, 8478430.0)","(8478046.0, 8471276.0, 8478498.0, 8475186.0, 8476891.0)",
4977,1,0.0,0.0,0.0,0.0,22.0,20.0,0,0,0,"(8478046.0, 8471276.0, 8478498.0, 8475186.0, 8476891.0)","(8478585.0, 8478512.0, 8477903.0, 8478397.0, 8478430.0)",
4978,1,0.0,0.0,0.0,0.0,8.0,23.0,0,0,0,"(8474150.0, 8477935.0, 8473564.0, 8478397.0, 8470966.0)","(8478046.0, 8471276.0, 8478498.0, 8475186.0, 8476891.0)",
